Timestamp,Email address,Full Name,Class,College Number,Mobile Number,(AM) Slot Selection,(PM) Slot Selection,My Ambition
08/07/2023 22:22:06,0,Mohd Amir,503,0,0,Computer Science/IT,Architecture/Interior Design/Arts & Design,IT
08/07/2023 22:22:08,1,Nurul Aina,503,1,1,Others/Undecided,Business/Enterpreneurship/Accounting/Banking/Finance,NOT SURE
08/07/2023 22:22:14,2,Ahmad Rizwan,501,2,2,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,ACCOUNTANT
08/07/2023 22:22:16,3,Siti Fatimah,502,3,3,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,VETERINA
08/07/2023 22:22:26,4,Mohamad Hafiz,503,4,4,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Architecture/Interior Design/Arts & Design,METEOROLOGISTS 
08/07/2023 22:22:27,5,Nurul Azira,503,5,5,Architecture/Interior Design/Arts & Design,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,ARCHITECT
08/07/2023 22:22:30,6,Abdul Rahman,501,6,6,Business/Enterpreneurship/Accounting/Banking/Finance,Computer Science/IT,BUSINESS IN IT
08/07/2023 22:22:31,7,Norazlina,508,7,7,Others/Undecided,Business/Enterpreneurship/Accounting/Banking/Finance,AUDITOR
08/07/2023 22:22:33,8,Zulkifli Ahmad,506,8,8,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,DOCTOR
08/07/2023 22:22:35,9,Nurul Syafiqah,505,9,9,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,VETERINAR
08/07/2023 22:22:35,10,Azman Yusof,501,10,10,Business/Enterpreneurship/Accounting/Banking/Finance,Computer Science/IT,FINANCIAL ADVISOR
08/07/2023 22:22:35,11,Siti Norhayati,503,11,11,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,CARDIAC SURGEON
08/07/2023 22:22:35,12,Mohd Firdaus,507,12,12,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Engineering,PHYSICIST
08/07/2023 22:22:37,13,Norazura,509,13,13,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,NEUROSURGEON 
08/07/2023 22:22:37,14,Ismail Ali,505,14,14,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,PEDIATRICS
08/07/2023 22:22:38,15,Nurul Hidayah,504,15,15,Entertainment/Film/Music/Modeling/Multimedia,Business/Enterpreneurship/Accounting/Banking/Finance,BUSINESS WOMAN
08/07/2023 22:22:38,16,Hafizul Rahman,507,16,16,Architecture/Interior Design/Arts & Design,Computer Science/IT,GRAPHIC DESIGNER
08/07/2023 22:22:39,17,Norhafiza,508,17,17,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,MILITARY DOCTOR
08/07/2023 22:22:40,18,Muhammad Zain,506,18,18,Engineering,Architecture/Interior Design/Arts & Design,ARCHITECT OR ELECTRONIC ENGINEER
08/07/2023 22:22:44,19,Fazilah Abdullah,510,19,19,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,ZOOLOGIST
08/07/2023 22:22:45,20,Khairul Anuar,507,20,20,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,ANAESTHETIST 
08/07/2023 22:22:51,21,Norhayati Mohd,511,21,21,Entertainment/Film/Music/Modeling/Multimedia,Others/Undecided,EDITOR
08/07/2023 22:22:52,22,Mohd Azri,506,22,22,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,DENTIST
08/07/2023 22:22:54,23,Siti Norazlina,505,23,23,Lawyer/Legal,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,CRIMINAL LAWYER
08/07/2023 22:22:54,24,Razman Mohd,510,24,24,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,DENTIST 
08/07/2023 22:22:54,25,Norazizah,501,25,25,Business/Enterpreneurship/Accounting/Banking/Finance,Lawyer/Legal,LAWYER
08/07/2023 22:22:55,26,Mohd Rizal,501,26,26,Business/Enterpreneurship/Accounting/Banking/Finance,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,TEACHER
08/07/2023 22:22:55,27,Nurul Ain,505,27,27,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,FORENSIC
08/07/2023 22:22:55,28,Azhar Ahmad,505,28,28,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:22:57,29,Noraini Mohd,504,29,29,Business/Enterpreneurship/Accounting/Banking/Finance,Lawyer/Legal,TIADA
08/07/2023 22:22:57,30,Faisal Ismail,508,30,30,Lawyer/Legal,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,LAWYER / SCIENTIST
08/07/2023 22:22:58,31,Norazlin,505,31,31,Engineering,Business/Enterpreneurship/Accounting/Banking/Finance,BAKER
08/07/2023 22:22:58,32,Mohd Azlan,508,32,32,Lawyer/Legal,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,VETERINARIAN
08/07/2023 22:22:59,33,Siti Norfazilah,510,33,33,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Entertainment/Film/Music/Modeling/Multimedia,UNDEFINED
08/07/2023 22:23:00,34,Amirul Hakim,503,34,34,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,VETERINARY
08/07/2023 22:23:02,35,Norazimah,504,35,35,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,LECTURER
08/07/2023 22:23:03,36,Iskandar Ibrahim,504,36,36,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,SURGEON OR PHARMACISTS
08/07/2023 22:23:04,37,Norzila,511,37,37,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,ENGINEER
08/07/2023 22:23:06,38,Haziqah Mohd,509,38,38,Engineering,Computer Science/IT,SOFTWARE ENGINEER 
08/07/2023 22:23:08,39,Nurul Izzah,508,39,39,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR (ER) //FORENSIC SCIENTIST
08/07/2023 22:23:10,40,Mohd Azmi,502,40,40,Architecture/Interior Design/Arts & Design,Engineering,NOT SURE
08/07/2023 22:23:14,41,Farah Hani,511,41,41,Engineering,Others/Undecided,- 
08/07/2023 22:23:15,42,Khairul Azmi,511,42,42,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,NEONATALOGIST
08/07/2023 22:23:15,43,Nor Azura,507,43,43,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,WILDLIFE BIOLOGIST 
08/07/2023 22:23:17,44,Zainal Abidin,504,44,44,Lawyer/Legal,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,LAWYER
08/07/2023 22:23:18,45,Siti Norhayati,507,45,45,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,PAEDIATRICIAN DOCTOR
08/07/2023 22:23:19,46,Azman Hassan,503,46,46,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Engineering,ENVIRONMENTAL ENGINEER 
08/07/2023 22:23:19,47,Noraini Abd,511,47,47,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,ASTROPHYSICIST 
08/07/2023 22:23:22,48,Ahmad Syafiq,501,48,48,Computer Science/IT,Entertainment/Film/Music/Modeling/Multimedia,GAME DEVELOPER
08/07/2023 22:23:24,49,Norazah,502,49,49,Architecture/Interior Design/Arts & Design,Engineering,ENGINEER/ARCHITECT
08/07/2023 22:23:25,50,Mohd Zainuddin,511,50,50,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,SOMETHING RELATED TO MEDICINE
08/07/2023 22:23:25,51,Fauziah Mohd,503,51,51,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,DOCTOR
08/07/2023 22:23:25,52,Razali Ismail,511,52,52,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,PSYCHIATRIST OR GYNAECOLOGIST 
08/07/2023 22:23:26,53,Norfarah,501,53,53,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,"ENGINEER, ENTREPRENEUR "
08/07/2023 22:23:26,54,Mohd Rizwan,508,54,54,Computer Science/IT,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,SYSTEM ANALYST 
08/07/2023 22:23:27,55,Nurul Syafiqah,510,55,55,Lawyer/Legal,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,LAWYER
08/07/2023 22:23:28,56,Abdul Rahman,502,56,56,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,RADIOLOGIST
08/07/2023 22:23:28,57,Norazlina,509,57,57,Engineering,Others/Undecided,ENGINEER
08/07/2023 22:23:30,58,Zulkifli Ahmad,506,58,58,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,DENTIST
08/07/2023 22:23:31,59,Nurul Azira,503,59,59,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,DENTIST
08/07/2023 22:23:31,60,Azman Yusof,511,60,60,Business/Enterpreneurship/Accounting/Banking/Finance,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,BUSINESS WOMEN
08/07/2023 22:23:31,61,Siti Norhayati,510,61,61,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Others/Undecided,DOCTOR
08/07/2023 22:23:34,62,Mohd Firdaus,508,62,62,Engineering,Computer Science/IT,ENGINEER
08/07/2023 22:23:36,63,Norazura,507,63,63,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,MILITARY DOCTOR
08/07/2023 22:23:38,64,Ismail Ali,502,64,64,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,DERMATOLOGIST 
08/07/2023 22:23:38,65,Nurul Hidayah,501,65,65,Architecture/Interior Design/Arts & Design,Business/Enterpreneurship/Accounting/Banking/Finance,ARCHITECT
08/07/2023 22:23:39,66,Hafizul Rahman,507,66,66,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,PILOT
08/07/2023 22:23:39,67,Norhafiza,506,67,67,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,PHARMACIST
08/07/2023 22:23:39,68,Muhammad Zain,503,68,68,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,TEACHER
08/07/2023 22:23:41,69,Fazilah Abdullah,505,69,69,Engineering,Computer Science/IT,ELECTRONIC ENGINEER
08/07/2023 22:23:41,70,Khairul Anuar,501,70,70,Business/Enterpreneurship/Accounting/Banking/Finance,Others/Undecided,ACCOUNTANT/PILOT
08/07/2023 22:23:43,71,Norhayati Mohd,507,71,71,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,"TEACHER,LECTURER"
08/07/2023 22:23:43,72,Mohd Azri,509,72,72,Lawyer/Legal,Entertainment/Film/Music/Modeling/Multimedia,PRIME MINISTER/POLITICIAN
08/07/2023 22:23:44,73,Siti Norazlina,504,73,73,Business/Enterpreneurship/Accounting/Banking/Finance,Architecture/Interior Design/Arts & Design,MARKETING MANAGER
08/07/2023 22:23:45,74,Razman Mohd,508,74,74,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,PHARMACIST
08/07/2023 22:23:45,75,Norazizah,504,75,75,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,PLANTATION
08/07/2023 22:23:46,76,Mohd Rizal,511,76,76,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Others/Undecided, TEACHER
08/07/2023 22:23:47,77,Nurul Ain,505,77,77,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:23:47,78,Azhar Ahmad,501,78,78,Business/Enterpreneurship/Accounting/Banking/Finance,Architecture/Interior Design/Arts & Design,FINANCIAL ANALYST
08/07/2023 22:23:49,79,Noraini Mohd,508,79,79,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,NEUROSCIENTIST 
08/07/2023 22:23:52,80,Faisal Ismail,508,80,80,Engineering,Computer Science/IT,SOFTWARE ENGINEER
08/07/2023 22:23:52,81,Norazlin,504,81,81,Engineering,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,DOCTOR
08/07/2023 22:23:54,82,Mohd Azlan,507,82,82,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,"PSYCHOLOGIST, LAWYER, TRANSLATOR"
08/07/2023 22:23:55,83,Siti Norfazilah,507,83,83,Computer Science/IT,Engineering,CYBER SECURITY SPECIALIST
08/07/2023 22:23:57,84,Amirul Hakim,503,84,84,Business/Enterpreneurship/Accounting/Banking/Finance,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,MARKETER (BUSINESS)
08/07/2023 22:23:57,85,Norazimah,510,85,85,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,TEACHER
08/07/2023 22:23:57,86,Iskandar Ibrahim,502,86,86,Others/Undecided,Entertainment/Film/Music/Modeling/Multimedia,GENETICIST
08/07/2023 22:23:57,87,Norzila,506,87,87,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,CARDIOVASCULAR SURGEON
08/07/2023 22:23:59,88,Haziqah Mohd,501,88,88,Business/Enterpreneurship/Accounting/Banking/Finance,Entertainment/Film/Music/Modeling/Multimedia,BUSINESS WOMEN
08/07/2023 22:23:59,89,Nurul Izzah,506,89,89,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Engineering,DONTHAVE FOR NOW
08/07/2023 22:23:59,90,Mohd Azmi,505,90,90,Architecture/Interior Design/Arts & Design,Lawyer/Legal,GRAPHIC DESIGN
08/07/2023 22:24:00,91,Farah Hani,502,91,91,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,NEUROLOGIST
08/07/2023 22:24:00,92,Khairul Azmi,506,92,92,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,PSYCHOLOGIST
08/07/2023 22:24:02,93,Nor Azura,502,93,93,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,VETERINARIAN
08/07/2023 22:24:02,94,Zainal Abidin,505,94,94,Engineering,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,ENGINEER
08/07/2023 22:24:03,95,Siti Norhayati,506,95,95,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,VETERINARY DOCTOR
08/07/2023 22:24:04,96,Azman Hassan,510,96,96,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Others/Undecided,UNDECIDED 
08/07/2023 22:24:05,97,Noraini Abd,508,97,97,Architecture/Interior Design/Arts & Design,Entertainment/Film/Music/Modeling/Multimedia,GAME CHARACTER DESIGNER
08/07/2023 22:24:06,98,Ahmad Syafiq,503,98,98,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,-
08/07/2023 22:24:06,99,Norazah,505,99,99,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,DOCTOR
08/07/2023 22:24:07,100,Mohd Zainuddin,502,100,100,Computer Science/IT,Business/Enterpreneurship/Accounting/Banking/Finance,SOFTWARE ENGINEERING
